interaction_id,user_id,song_id,play_count,liked,skipped,rating,device,session_duration_sec,timestamp,engagement_score,is_positive,age,gender,preferred_genre,preferred_language,song_name,artist,genre,language,duration_sec,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo_bpm
I003130,U0977,S0216,3,1,0,3,Mobile,290,46128.43105,5.6,0,20,Female,Hip-Hop,Telugu,Song_0216,Artist_087,Electronic,Hindi,317,36,0.965,0.911,-9.93,0.107,0.844,0.288,0.037,0.161,79.93
I003131,U0583,S0244,6,1,0,2,Tablet,213,45867.66667,6.4,0,59,Male,Electronic,English,Song_0244,Artist_062,R&B,Tamil,258,1,0.219,0.468,-4.87,0.24,0.696,0.886,0.789,0.869,179.32
I003132,U0156,S0009,3,1,1,4,Desktop,92,45782.81987,4.3,0,47,Male,Classical,English,Song_0009,Artist_011,Electronic,English,173,74,0.262,0.871,-11.54,0.256,0.033,0.85,0.254,0.449,146.42
I003133,U0614,S0250,2,0,1,4,Mobile,578,45869.14931,1.8,0,25,Male,Hip-Hop,Hindi,Song_0250,Artist_032,Electronic,Hindi,231,88,0.654,0.638,-5.34,0.068,0.116,0.029,0.361,0.923,189.29
I003134,U0013,S0200,4,1,0,4,Mobile,767,46062.82039,6.8,1,51,Male,Classical,English,Song_0200,Artist_082,Lo-Fi,English,164,74,0.786,0.218,-2.97,0.18,0.603,0.838,0.256,0.918,80.36
I003135,U0508,S0334,1,0,0,5,Mobile,238,45909.58553,4,0,41,Male,R&B,Telugu,Song_0334,Artist_005,Country,English,270,34,0.734,0.352,-12.16,0.04,0.273,0.808,0.671,0.054,114.83
I003136,U0465,S0079,4,0,0,2,Mobile,786,45831.63515,3.4,0,25,Other,Lo-Fi,Tamil,Song_0079,Artist_020,Country,English,220,13,0.876,0.668,-12,0.102,0.913,0.9,0.679,0.249,99.63
I003137,U0783,S0245,4,1,0,3,Mobile,204,46050.26723,6.1,0,32,Male,Indie,English,Song_0245,Artist_011,Indie,English,294,39,0.762,0.845,-5.03,0.183,0.336,0.026,0.52,0.944,110.32
I003138,U0804,S0190,2,0,0,5,Mobile,860,46120.05802,4.5,0,18,Male,Hip-Hop,English,Song_0190,Artist_061,Electronic,English,358,75,0.518,0.962,-10.57,0.279,0.699,0.188,0.186,0.389,123.65
I003139,U0220,S0086,2,0,0,5,Mobile,171,46099.56126,4.5,0,39,Female,R&B,Hindi,Song_0086,Artist_073,Classical,English,227,94,0.409,0.217,-5.87,0.138,0.534,0.116,0.764,0.771,93.63
I003140,U0015,S0485,4,0,0,4,Mobile,167,45988.54444,4.8,0,39,Male,R&B,Telugu,Song_0485,Artist_034,Jazz,Hindi,159,81,0.782,0.672,-11.96,0.074,0.388,0.564,0.665,0.097,187.18
I003141,U0750,S0271,7,1,0,5,Desktop,76,45883.69657,9,1,45,Male,Country,Tamil,Song_0271,Artist_063,Country,English,329,95,0.758,0.295,-9.4,0.106,0.742,0.217,0.531,0.78,129.15
I003142,U0117,S0262,4,1,0,2,Mobile,843,46228.47054,5.4,0,39,Female,Hip-Hop,English,Song_0262,Artist_054,Rock,Hindi,256,49,0.358,0.541,-12.05,0.204,0.926,0.374,0.322,0.547,85.11
I003143,U0331,S0001,5,1,1,2,Mobile,142,45972.92934,3.9,0,50,Female,Jazz,Hindi,Song_0001,Artist_084,Classical,Hindi,277,1,0.346,0.732,-13.62,0.028,0.653,0.374,0.292,0.81,63.83
I003144,U0056,S0020,5,1,0,1,Desktop,101,46079.82684,5.2,0,32,Male,Pop,English,Song_0020,Artist_036,Jazz,Tamil,179,70,0.653,0.554,-3.06,0.168,0.658,0.374,0.652,0.54,128.45
I003145,U0351,S0489,3,0,1,4,Desktop,55,45982.78448,2.3,0,47,Male,Jazz,Hindi,Song_0489,Artist_090,Classical,Telugu,255,9,0.966,0.568,-11.02,0.164,0.935,0.777,0.378,0.278,64.49
I003146,U0132,S0420,3,1,0,2,Web,723,45941.23366,4.9,0,41,Male,Jazz,Tamil,Song_0420,Artist_077,Hip-Hop,Hindi,242,44,0.248,0.459,-13.08,0.291,0.185,0.187,0.152,0.132,77.66
I003147,U0995,S0130,3,1,0,5,Mobile,272,46015.62734,7,1,45,Female,Jazz,English,Song_0130,Artist_098,Hip-Hop,English,204,15,0.548,0.371,-10.46,0.209,0.538,0.607,0.776,0.16,136.38
I003148,U0226,S0326,2,1,0,4,Mobile,431,45972.89299,5.8,1,31,Male,Country,English,Song_0326,Artist_073,Electronic,English,227,100,0.402,0.787,-3.93,0.102,0.758,0.694,0.606,0.426,125.28
I003149,U0308,S0258,4,1,1,3,Mobile,584,45795.11472,4.1,0,45,Male,Indie,English,Song_0258,Artist_086,Pop,English,297,38,0.509,0.73,-7.07,0.075,0.108,0.554,0.759,0.492,179.37
I003150,U0475,S0131,3,1,0,5,Tablet,605,45867.00076,7,1,17,Female,Electronic,Tamil,Song_0131,Artist_080,Rock,Spanish,271,13,0.632,0.176,-3,0.09,0.185,0.051,0.741,0.757,68.01
I003151,U0906,S0007,4,0,0,5,Mobile,24,45958.00313,5.5,0,45,Male,Rock,Hindi,Song_0007,Artist_056,Hip-Hop,English,331,86,0.6,0.258,-8.39,0.282,0.276,0.659,0.547,0.057,174.28
I003152,U0222,S0340,2,1,0,5,Web,663,46079.53248,6.5,1,49,Female,Electronic,Hindi,Song_0340,Artist_035,Classical,English,303,42,0.462,0.163,-8.91,0.023,0.611,0.654,0.724,0.785,141.78
I003153,U0173,S0241,4,0,0,3,Mobile,611,45729.57531,4.1,0,54,Male,R&B,English,Song_0241,Artist_012,Pop,Hindi,306,76,0.46,0.588,-11.03,0.052,0.188,0.715,0.109,0.283,115
I003154,U0340,S0192,6,1,0,3,Mobile,484,46249.21517,7.1,0,47,Male,Country,English,Song_0192,Artist_002,Classical,English,336,38,0.217,0.238,-7.85,0.024,0.904,0.117,0.372,0.298,173.33
I003155,U0797,S0425,3,0,0,2,Desktop,837,45874.39991,2.9,0,26,Female,Rock,English,Song_0425,Artist_054,Indie,English,221,87,0.359,0.286,-8.04,0.208,0.309,0.112,0.455,0.11,99.7
I003156,U0506,S0310,2,1,0,5,Mobile,704,46211.0835,6.5,1,41,Male,Classical,English,Song_0310,Artist_088,R&B,Telugu,278,23,0.788,0.363,-12.3,0.091,0.686,0.297,0.497,0.965,61.31
I003157,U0821,S0297,2,0,1,5,Mobile,354,45794.05627,2.5,0,56,Female,Classical,Telugu,Song_0297,Artist_058,Hip-Hop,Hindi,201,76,0.944,0.158,-7.1,0.289,0.888,0.884,0.415,0.558,78.3
I003158,U0157,S0115,7,1,0,3,Mobile,228,45938.69381,7.6,0,22,Male,Classical,Tamil,Song_0115,Artist_004,Rock,English,284,77,0.202,0.829,-9.95,0.065,0.265,0.504,0.698,0.631,168.16
I003159,U0151,S0389,8,1,0,5,Mobile,112,46014.71793,9.5,1,30,Male,Pop,English,Song_0389,Artist_023,Hip-Hop,Hindi,167,58,0.883,0.433,-7.06,0.145,0.8,0.432,0.231,0.94,158.21
I003160,U0697,S0473,1,1,0,5,Desktop,306,45953.2259,6,1,16,Female,Country,English,Song_0473,Artist_027,Pop,English,200,18,0.35,0.158,-9.98,0.024,0.245,0.751,0.412,0.262,128.58
I003161,U0178,S0102,1,0,0,3,Mobile,458,46061.91759,2.6,0,56,Male,Country,English,Song_0102,Artist_089,Lo-Fi,Hindi,278,30,0.873,0.482,-6.81,0.162,0.061,0.554,0.407,0.757,147.23
I003162,U0533,S0338,2,1,0,5,Web,589,45890.00245,6.5,1,52,Male,Lo-Fi,English,Song_0338,Artist_080,Pop,English,329,10,0.255,0.582,-5.83,0.05,0.664,0.62,0.054,0.47,155.41
I003163,U0112,S0319,2,1,0,3,Mobile,760,46092.79317,5.1,0,23,Other,Country,Spanish,Song_0319,Artist_031,Electronic,Hindi,306,19,0.329,0.228,-7.07,0.15,0.854,0.62,0.733,0.192,74.89
I003164,U0683,S0001,4,1,0,4,Mobile,704,46070.76206,6.8,1,43,Female,Hip-Hop,Telugu,Song_0001,Artist_084,Classical,Hindi,277,1,0.346,0.732,-13.62,0.028,0.653,0.374,0.292,0.81,63.83
I003165,U0138,S0025,5,0,1,5,Mobile,674,45969.70028,4,0,30,Female,Rock,English,Song_0025,Artist_086,Electronic,English,318,33,0.601,0.274,-2.52,0.234,0.484,0.431,0.304,0.388,100.58
I003166,U0233,S0209,4,1,0,5,Desktop,209,46166.5478,7.5,1,35,Male,Indie,Tamil,Song_0209,Artist_083,Indie,Hindi,325,51,0.812,0.214,-11.27,0.099,0.785,0.765,0.644,0.796,119.15
I003167,U0332,S0430,4,1,0,5,Tablet,827,46020.75297,7.5,1,56,Male,Lo-Fi,English,Song_0430,Artist_058,Electronic,Hindi,221,81,0.601,0.649,-7.66,0.133,0.804,0.714,0.15,0.419,62.05
I003168,U0542,S0143,3,0,1,3,Mobile,647,46000.63273,1.6,0,35,Male,Indie,English,Song_0143,Artist_010,Country,English,216,28,0.797,0.151,-8.87,0.107,0.628,0.303,0.641,0.155,185.59
I003169,U0893,S0197,6,1,0,5,Mobile,884,45985.84613,8.5,1,41,Male,Jazz,Hindi,Song_0197,Artist_096,Electronic,Tamil,263,56,0.621,0.722,-4.27,0.036,0.22,0.5,0.236,0.718,152.69
I003170,U0307,S0145,4,0,0,4,Tablet,619,46247.82365,4.8,0,37,Male,Hip-Hop,Hindi,Song_0145,Artist_059,Classical,English,306,99,0.829,0.912,-6.21,0.216,0.885,0.409,0.113,0.144,97
I003171,U0161,S0149,6,1,0,4,Mobile,203,45731.27382,7.8,1,57,Female,R&B,English,Song_0149,Artist_031,Country,Hindi,318,70,0.876,0.235,-13.96,0.193,0.805,0.699,0.332,0.392,82.41
I003172,U0402,S0181,3,0,0,3,Mobile,427,46142.18132,3.6,0,54,Male,Pop,Telugu,Song_0181,Artist_072,Electronic,Tamil,353,28,0.333,0.61,-3.54,0.149,0.782,0.774,0.541,0.59,174.62
I003173,U0590,S0055,3,1,0,5,Mobile,478,46153.63774,7,1,24,Male,Hip-Hop,English,Song_0055,Artist_057,Indie,English,214,18,0.584,0.333,-14.02,0.035,0.779,0.034,0.413,0.242,189.93
I003174,U0278,S0471,2,0,1,4,Web,559,45925.3089,1.8,0,51,Female,Pop,Spanish,Song_0471,Artist_015,Jazz,English,285,14,0.888,0.979,-3.88,0.176,0.121,0.393,0.077,0.428,65.65
I003175,U0320,S0363,5,1,0,3,Web,837,45834.55027,6.6,0,48,Female,Jazz,Hindi,Song_0363,Artist_089,Jazz,English,354,62,0.31,0.333,-4.73,0.026,0.135,0.594,0.247,0.832,119.47
I003176,U0533,S0138,5,1,0,3,Desktop,103,46050.98162,6.6,0,52,Male,Lo-Fi,English,Song_0138,Artist_057,Electronic,English,227,53,0.902,0.582,-5.29,0.273,0.526,0.723,0.402,0.624,143.5
I003177,U0897,S0209,3,0,0,4,Mobile,134,46234.98609,4.3,0,52,Male,Lo-Fi,Hindi,Song_0209,Artist_083,Indie,Hindi,325,51,0.812,0.214,-11.27,0.099,0.785,0.765,0.644,0.796,119.15
I003178,U0497,S0185,3,0,0,4,Tablet,583,45969.17846,4.3,0,27,Other,R&B,English,Song_0185,Artist_059,Jazz,English,181,98,0.67,0.912,-6.21,0.197,0.285,0.844,0.64,0.735,145.96
I003179,U0363,S0065,6,0,0,5,Desktop,363,46068.4235,6.5,0,58,Male,Classical,English,Song_0065,Artist_018,Indie,English,175,30,0.293,0.236,-12.42,0.04,0.908,0.131,0.23,0.803,186.38
I003180,U0372,S0037,4,1,1,5,Tablet,82,46012.65622,5.5,0,22,Female,Indie,Hindi,Song_0037,Artist_092,Country,English,356,52,0.308,0.173,-3.48,0.231,0.822,0.692,0.714,0.184,143.38
I003181,U0892,S0112,3,0,1,4,Mobile,62,46025.65817,2.3,0,21,Female,Pop,English,Song_0112,Artist_014,Lo-Fi,Hindi,172,75,0.509,0.941,-14.14,0.245,0.817,0.618,0.645,0.647,98.49
I003182,U0655,S0263,5,1,0,4,Desktop,463,46067.12263,7.3,1,31,Female,Electronic,Telugu,Song_0263,Artist_072,Jazz,English,257,59,0.979,0.964,-7.17,0.152,0.053,0.362,0.352,0.604,146.83
I003183,U0036,S0076,5,0,0,5,Web,661,45817.56332,6,0,18,Female,Pop,Telugu,Song_0076,Artist_032,Hip-Hop,Hindi,284,36,0.206,0.251,-7.19,0.269,0.098,0.744,0.732,0.864,69.43
I003184,U0303,S0296,1,1,0,4,Mobile,71,45782.73155,5.3,1,32,Male,Jazz,English,Song_0296,Artist_083,Pop,Tamil,349,49,0.226,0.885,-7.57,0.048,0.492,0.819,0.161,0.609,115.25
I003185,U0438,S0178,8,1,1,3,Desktop,562,46182.08985,6.1,0,27,Male,Indie,English,Song_0178,Artist_091,Rock,Hindi,319,69,0.646,0.819,-7.8,0.147,0.52,0.165,0.305,0.926,95.77
I003186,U0726,S0254,6,1,0,5,Web,680,45918.88186,8.5,1,34,Female,Classical,Hindi,Song_0254,Artist_040,Rock,Tamil,326,39,0.878,0.312,-2.91,0.168,0.843,0.428,0.448,0.682,98.33
I003187,U0032,S0001,3,0,0,3,Web,166,46171.77831,3.6,0,43,Female,R&B,Hindi,Song_0001,Artist_084,Classical,Hindi,277,1,0.346,0.732,-13.62,0.028,0.653,0.374,0.292,0.81,63.83
I003188,U0186,S0148,3,0,0,3,Tablet,153,46171.76998,3.6,0,48,Female,Classical,Telugu,Song_0148,Artist_059,Pop,Spanish,318,85,0.267,0.521,-5.44,0.225,0.268,0.01,0.438,0.801,187.26
I003189,U0174,S0364,4,1,0,3,Web,251,45931.71029,6.1,0,48,Female,Electronic,Telugu,Song_0364,Artist_084,Rock,Hindi,172,95,0.531,0.755,-6.69,0.188,0.768,0.657,0.21,0.528,127.3
I003190,U0566,S0159,6,0,0,4,Web,204,46028.37019,5.8,0,31,Male,Jazz,Hindi,Song_0159,Artist_022,Indie,Hindi,254,91,0.609,0.816,-14.2,0.063,0.787,0.731,0.766,0.703,138.33
I003191,U0673,S0324,3,1,0,5,Web,256,46173.57119,7,1,43,Female,Hip-Hop,Tamil,Song_0324,Artist_067,Pop,English,229,62,0.85,0.583,-12.05,0.043,0.537,0.1,0.634,0.864,147.35
I003192,U0250,S0474,3,1,0,3,Mobile,279,46019.55779,5.6,0,43,Female,Pop,Hindi,Song_0474,Artist_013,Electronic,English,160,42,0.76,0.274,-6.03,0.065,0.796,0.441,0.141,0.815,155.67
I003193,U0763,S0268,3,1,0,4,Tablet,847,45935.77308,6.3,1,53,Female,Electronic,Telugu,Song_0268,Artist_049,Indie,Hindi,164,2,0.544,0.173,-5.58,0.27,0.123,0.275,0.744,0.523,168.29
I003194,U0935,S0150,5,1,0,1,Desktop,558,46019.67644,5.2,0,21,Male,Pop,Hindi,Song_0150,Artist_093,Electronic,Telugu,300,65,0.589,0.163,-10.33,0.021,0.412,0.739,0.509,0.166,106.47
I003195,U0279,S0129,8,0,0,4,Web,408,45685.39209,6.8,0,53,Male,Classical,Spanish,Song_0129,Artist_003,Pop,English,279,32,0.241,0.635,-11.37,0.048,0.841,0.083,0.307,0.2,65.12
I003196,U0683,S0126,4,0,0,3,Desktop,57,45692.80451,4.1,0,43,Female,Hip-Hop,Telugu,Song_0126,Artist_094,Indie,English,334,40,0.925,0.22,-6.44,0.128,0.222,0.364,0.562,0.57,183.51
I003197,U0695,S0001,5,0,0,5,Mobile,869,45679.43718,6,0,20,Male,Lo-Fi,Telugu,Song_0001,Artist_084,Classical,Hindi,277,1,0.346,0.732,-13.62,0.028,0.653,0.374,0.292,0.81,63.83
I003198,U0002,S0387,7,1,0,4,Tablet,165,45797.22726,8.3,1,44,Female,Classical,English,Song_0387,Artist_099,Jazz,Hindi,249,1,0.687,0.192,-7.72,0.042,0.506,0.537,0.084,0.781,166.66
I003199,U0194,S0117,3,1,0,3,Web,624,46248.5478,5.6,0,56,Male,Pop,Tamil,Song_0117,Artist_072,Hip-Hop,English,193,76,0.604,0.254,-3.41,0.133,0.577,0.565,0.286,0.935,135.91
I003200,U0166,S0460,5,1,1,5,Tablet,78,45753.31819,6,0,59,Female,Classical,Hindi,Song_0460,Artist_013,Pop,Spanish,270,25,0.394,0.897,-11.25,0.289,0.453,0.547,0.633,0.697,75.38
I003201,U0759,S0149,1,1,0,3,Mobile,100,45865.43128,4.6,0,26,Male,Lo-Fi,Tamil,Song_0149,Artist_031,Country,Hindi,318,70,0.876,0.235,-13.96,0.193,0.805,0.699,0.332,0.392,82.41
I003202,U0925,S0269,3,0,0,1,Mobile,637,46021.84968,2.2,0,45,Female,Jazz,English,Song_0269,Artist_021,Country,English,168,49,0.403,0.485,-12.54,0.162,0.465,0.703,0.483,0.109,188.33
I003203,U0756,S0189,4,1,0,4,Mobile,636,46111.99345,6.8,1,36,Female,Indie,Hindi,Song_0189,Artist_089,Electronic,Spanish,177,78,0.374,0.613,-6.47,0.088,0.268,0.738,0.272,0.915,169.62
I003204,U0110,S0141,4,0,0,4,Web,263,46234.18595,4.8,0,22,Female,Pop,Telugu,Song_0141,Artist_032,Rock,English,184,7,0.23,0.366,-5.42,0.084,0.315,0.186,0.155,0.686,93.04
I003205,U0380,S0105,7,1,0,3,Mobile,338,46078.58988,7.6,0,27,Male,Hip-Hop,Hindi,Song_0105,Artist_013,Lo-Fi,English,347,83,0.91,0.567,-2.38,0.111,0.683,0.279,0.274,0.619,157.89
I003206,U0835,S0466,4,0,0,4,Desktop,574,45950.69142,4.8,0,41,Female,Electronic,Hindi,Song_0466,Artist_006,Classical,Hindi,161,29,0.416,0.835,-10.7,0.056,0.802,0.792,0.127,0.284,162.7
I003207,U0999,S0252,6,1,0,3,Mobile,660,45905.8036,7.1,0,20,Male,Rock,English,Song_0252,Artist_085,Indie,English,222,46,0.787,0.317,-4.37,0.275,0.048,0.51,0.215,0.548,169.65
I003208,U0583,S0417,4,0,0,5,Tablet,288,45975.45278,5.5,0,59,Male,Electronic,English,Song_0417,Artist_076,Lo-Fi,English,158,55,0.692,0.394,-11.69,0.271,0.148,0.747,0.048,0.636,172.96
I003209,U0676,S0390,4,1,0,3,Mobile,157,46213.84625,6.1,0,51,Female,Jazz,Hindi,Song_0390,Artist_064,Pop,Tamil,161,91,0.412,0.897,-11.56,0.145,0.619,0.734,0.444,0.346,94.72
I003210,U0285,S0281,3,1,0,3,Desktop,376,46077.96127,5.6,0,40,Male,Jazz,Telugu,Song_0281,Artist_037,Lo-Fi,Hindi,343,90,0.6,0.56,-7.72,0.226,0.809,0.515,0.404,0.568,95.16
I003211,U0887,S0407,3,0,0,4,Web,154,45672.12843,4.3,0,59,Female,Electronic,English,Song_0407,Artist_069,Jazz,English,218,19,0.912,0.268,-4.88,0.26,0.386,0.115,0.042,0.649,145.65
I003212,U0421,S0344,3,1,0,4,Desktop,552,45939.74942,6.3,1,38,Female,Lo-Fi,English,Song_0344,Artist_026,Rock,Tamil,257,10,0.284,0.822,-5.31,0.171,0.113,0.224,0.59,0.321,161.28
I003213,U0113,S0101,3,1,0,4,Web,602,45983.19086,6.3,1,27,Male,Lo-Fi,Telugu,Song_0101,Artist_059,Classical,Hindi,233,26,0.307,0.377,-5.54,0.208,0.099,0.724,0.332,0.294,149.54
I003214,U0228,S0282,7,1,1,5,Desktop,790,45973.41889,7,0,24,Female,R&B,English,Song_0282,Artist_068,Rock,Hindi,191,80,0.468,0.916,-10.33,0.04,0.693,0.432,0.78,0.151,112.05
I003215,U0471,S0388,4,1,1,5,Mobile,704,45660.95985,5.5,0,19,Male,Indie,Tamil,Song_0388,Artist_086,Country,Hindi,171,71,0.57,0.867,-8.24,0.034,0.751,0.544,0.05,0.577,65.81
I003216,U0813,S0358,1,1,0,4,Web,180,46110.83098,5.3,1,33,Other,Country,Telugu,Song_0358,Artist_089,Hip-Hop,English,317,9,0.214,0.444,-12.69,0.215,0.495,0.818,0.375,0.631,126.31
I003217,U0528,S0163,4,1,0,5,Mobile,368,45982.02117,7.5,1,54,Female,Rock,English,Song_0163,Artist_042,Hip-Hop,English,329,16,0.54,0.39,-7.73,0.162,0.735,0.848,0.128,0.45,97.74
I003218,U0496,S0497,6,0,0,4,Desktop,776,45775.26734,5.8,0,28,Male,Country,English,Song_0497,Artist_017,Lo-Fi,English,169,83,0.776,0.746,-8.78,0.066,0.025,0.264,0.148,0.575,124.52
I003219,U0031,S0203,5,0,0,1,Mobile,67,46081.02178,3.2,0,57,Male,Rock,Spanish,Song_0203,Artist_085,Rock,English,171,38,0.276,0.423,-3.14,0.134,0.687,0.7,0.271,0.789,103.84
I003220,U0162,S0100,4,1,0,3,Web,600,46199.70762,6.1,0,60,Male,R&B,English,Song_0100,Artist_068,Electronic,English,254,5,0.546,0.951,-5.26,0.057,0.018,0.243,0.15,0.396,108.57
I003221,U0818,S0281,1,1,0,4,Mobile,304,46072.33412,5.3,1,21,Female,Rock,Hindi,Song_0281,Artist_037,Lo-Fi,Hindi,343,90,0.6,0.56,-7.72,0.226,0.809,0.515,0.404,0.568,95.16
I003222,U0705,S0404,4,1,0,4,Tablet,617,45695.26237,6.8,1,42,Male,Jazz,English,Song_0404,Artist_056,Jazz,Spanish,197,70,0.336,0.202,-7.21,0.267,0.61,0.651,0.156,0.809,116.11
I003223,U0722,S0257,5,1,0,4,Mobile,849,45988.06839,7.3,1,52,Female,Country,Hindi,Song_0257,Artist_006,Indie,English,231,62,0.939,0.68,-9.07,0.277,0.877,0.28,0.458,0.79,164.11
I003224,U0378,S0094,5,0,0,5,Web,187,45811.08398,6,0,31,Male,Rock,English,Song_0094,Artist_099,Lo-Fi,English,274,24,0.696,0.954,-4.65,0.2,0.029,0.017,0.07,0.416,81.93
I003225,U0446,S0324,5,1,0,3,Desktop,228,46116.71279,6.6,0,20,Male,Electronic,English,Song_0324,Artist_067,Pop,English,229,62,0.85,0.583,-12.05,0.043,0.537,0.1,0.634,0.864,147.35
I003226,U0744,S0279,6,0,1,4,Tablet,387,45681.51965,3.8,0,49,Female,Lo-Fi,Hindi,Song_0279,Artist_066,Electronic,English,330,88,0.683,0.976,-14.15,0.225,0.688,0.114,0.334,0.346,179.27
I003227,U0427,S0227,4,1,1,5,Mobile,703,45771.45163,5.5,0,47,Female,Jazz,Telugu,Song_0227,Artist_075,Rock,Hindi,217,43,0.309,0.581,-11.64,0.156,0.807,0.866,0.516,0.915,167.62
I003228,U0696,S0362,5,0,0,5,Desktop,359,46034.71047,6,0,48,Female,Pop,Hindi,Song_0362,Artist_021,Lo-Fi,Spanish,228,57,0.598,0.329,-5.06,0.238,0.644,0.295,0.153,0.064,115.27
I003229,U0504,S0150,3,0,0,1,Mobile,316,46037.77318,2.2,0,23,Male,Classical,Telugu,Song_0150,Artist_093,Electronic,Telugu,300,65,0.589,0.163,-10.33,0.021,0.412,0.739,0.509,0.166,106.47
I003230,U0527,S0351,4,0,1,4,Mobile,885,45861.90897,2.8,0,33,Male,Jazz,Hindi,Song_0351,Artist_012,Hip-Hop,Spanish,227,65,0.385,0.568,-8.84,0.177,0.768,0.004,0.357,0.162,119.48
I003231,U0944,S0062,2,0,0,4,Mobile,401,45976.85308,3.8,0,41,Male,R&B,Tamil,Song_0062,Artist_013,Indie,English,210,18,0.442,0.322,-5.72,0.186,0.739,0.507,0.605,0.947,110.16
I003232,U0817,S0129,4,1,0,4,Mobile,395,46067.86512,6.8,1,36,Male,Jazz,Hindi,Song_0129,Artist_003,Pop,English,279,32,0.241,0.635,-11.37,0.048,0.841,0.083,0.307,0.2,65.12
I003233,U0721,S0187,2,1,0,5,Mobile,716,45772.93762,6.5,1,38,Female,Pop,English,Song_0187,Artist_039,Jazz,English,211,77,0.979,0.652,-4.36,0.115,0.332,0.009,0.091,0.817,61.39
I003234,U0684,S0068,4,0,1,5,Mobile,573,45756.06113,3.5,0,44,Female,Electronic,English,Song_0068,Artist_017,Country,English,249,10,0.372,0.373,-6.91,0.061,0.725,0.893,0.788,0.818,133.14
I003235,U0778,S0403,4,1,1,5,Mobile,369,45704.13344,5.5,0,44,Female,Hip-Hop,Hindi,Song_0403,Artist_037,Lo-Fi,English,250,47,0.877,0.572,-7.82,0.049,0.281,0.023,0.276,0.818,65.36
I003236,U0532,S0030,2,0,1,4,Mobile,183,45835.01163,1.8,0,47,Male,Rock,Hindi,Song_0030,Artist_038,Country,Hindi,307,57,0.325,0.192,-11.11,0.126,0.077,0.079,0.031,0.187,137.56
I003237,U0582,S0385,2,0,0,3,Mobile,416,46096.95284,3.1,0,25,Female,R&B,Telugu,Song_0385,Artist_021,Rock,English,354,6,0.943,0.533,-2.36,0.111,0.825,0.031,0.222,0.216,155.2
I003238,U0520,S0304,7,1,1,5,Web,896,45894.61166,7,0,25,Female,Electronic,Telugu,Song_0304,Artist_048,R&B,English,249,31,0.577,0.241,-14.77,0.108,0.532,0.201,0.709,0.219,178.88
I003239,U0941,S0275,6,1,0,4,Web,21,46252.75949,7.8,1,35,Female,Rock,Telugu,Song_0275,Artist_006,R&B,Hindi,323,51,0.421,0.569,-9.42,0.25,0.773,0.095,0.116,0.646,150.88
I003240,U0034,S0127,3,1,0,5,Mobile,314,45972.88113,7,1,30,Female,Pop,English,Song_0127,Artist_067,Rock,English,218,60,0.297,0.684,-11.27,0.117,0.651,0.056,0.636,0.545,83.33
I003241,U0736,S0436,3,1,1,5,Mobile,771,45723.60966,5,0,55,Male,Pop,English,Song_0436,Artist_089,Country,Hindi,163,42,0.312,0.434,-8.39,0.207,0.351,0.837,0.257,0.61,174.11
I003242,U0691,S0213,3,0,0,4,Web,631,45778.22781,4.3,0,17,Male,Rock,English,Song_0213,Artist_074,Lo-Fi,English,190,95,0.927,0.387,-5.96,0.232,0.055,0.207,0.597,0.145,89.21
I003243,U0758,S0406,4,1,0,5,Mobile,516,45719.97605,7.5,1,17,Male,Country,Tamil,Song_0406,Artist_093,R&B,Hindi,336,93,0.652,0.519,-9.8,0.251,0.286,0.717,0.378,0.832,72.42
I003244,U0490,S0306,5,1,1,4,Desktop,406,46143.57777,5.3,0,48,Male,Rock,Hindi,Song_0306,Artist_097,Classical,Hindi,301,87,0.918,0.35,-8.12,0.154,0.479,0.892,0.559,0.477,185.11
I003245,U0772,S0450,1,0,0,3,Mobile,117,46004.69182,2.6,0,39,Male,Hip-Hop,Hindi,Song_0450,Artist_022,R&B,English,264,69,0.654,0.873,-2.49,0.047,0.379,0.813,0.678,0.891,107.37
I003246,U0620,S0134,5,0,1,4,Mobile,493,46016.39816,3.3,0,28,Female,Lo-Fi,English,Song_0134,Artist_038,Indie,English,236,74,0.328,0.926,-14.6,0.19,0.914,0.359,0.69,0.663,99.61
I003247,U0754,S0448,6,1,0,5,Mobile,512,45698.38238,8.5,1,30,Male,Indie,English,Song_0448,Artist_079,R&B,English,344,19,0.59,0.412,-8.27,0.205,0.183,0.634,0.327,0.835,134.73
I003248,U0423,S0405,3,1,0,4,Tablet,167,45822.61322,6.3,1,27,Female,Indie,Hindi,Song_0405,Artist_059,Electronic,Telugu,284,57,0.236,0.469,-11.43,0.168,0.28,0.729,0.366,0.919,66.79
I003249,U0468,S0481,4,1,0,4,Web,838,46215.24852,6.8,1,16,Male,R&B,Hindi,Song_0481,Artist_058,Hip-Hop,Tamil,157,88,0.54,0.324,-10.19,0.086,0.395,0.9,0.38,0.225,112.04
I003250,U0024,S0403,3,0,0,2,Desktop,75,45885.79376,2.9,0,36,Female,R&B,English,Song_0403,Artist_037,Lo-Fi,English,250,47,0.877,0.572,-7.82,0.049,0.281,0.023,0.276,0.818,65.36
I003251,U0216,S0219,2,0,0,2,Web,356,45918.04159,2.4,0,19,Female,Jazz,English,Song_0219,Artist_033,Hip-Hop,Hindi,246,76,0.785,0.829,-5,0.203,0.227,0.673,0.312,0.807,67.15
